,Show Number,Air Date,Round,Category,Value,Question,Answer
3705,4398,10/22/2003,Jeopardy!,OPERA,$200 ,"Stationed in Seville, Don Jose is bewitched by a gypsy girl in this Bizet opera",Carmen
3711,4398,10/22/2003,Jeopardy!,OPERA,$400 ,"Like many of his works, this composer's ""Tannhauser"" is based on Germanic legends",(Richard) Wagner
3717,4398,10/22/2003,Jeopardy!,OPERA,"$2,500 ",Mozart opera in which the count tries to thwart & postpone his valet's wedding,The Marriage of Figaro
3723,4398,10/22/2003,Jeopardy!,OPERA,$800 ,Musetta has her very own waltz in Act II of this Puccini opera,La boheme
3729,4398,10/22/2003,Jeopardy!,OPERA,"$1,000 ","At 35 he decided for the first time to sit right down & write himself an opera; he produced ""Fidelio""",(Ludwig van) Beethoven
11871,1875,10/30/1992,Double Jeopardy!,OPERA,$200 ,"A ""monster"" opera based on this Mary Shelley novel premiered in 1990",Frankenstein
11875,1875,10/30/1992,Double Jeopardy!,OPERA,$400 ,"In 1872 this composer conducted his ""Aida"" at La Scala in Milan",Verdi
11879,1875,10/30/1992,Double Jeopardy!,OPERA,$600 ,Part of this Rossini opera takes place on the shores of Lake Lucerne,William Tell
11882,1875,10/30/1992,Double Jeopardy!,OPERA,"$1,000 ",Act I of this opera ends with a love duet between Roddolfo & Mimi,La bohème
11886,1875,10/30/1992,Double Jeopardy!,OPERA,"$1,000 ",This Wagner opera concludes with a ship sinking & its captain & Senta ascending to heaven,The Flying Dutchman (Der fliegende Holländer)
12274,5332,11/13/2007,Double Jeopardy!,OPERA,$400 ,Susanna the maid is the bride in this Mozart opera,The Marriage of Figaro
12280,5332,11/13/2007,Double Jeopardy!,OPERA,$800 ,"The name of this Verdi opera means ""The Fallen Woman""",La Traviata
12286,5332,11/13/2007,Double Jeopardy!,OPERA,"$1,200 ","Puccini's last opera, it's set in Peking",Turandot
12292,5332,11/13/2007,Double Jeopardy!,OPERA,"$4,000 ",This 1892 Leoncavallo work has a play within the opera,Pagliacci
12298,5332,11/13/2007,Double Jeopardy!,OPERA,"$2,000 ","""La Bisbetica Dominata"" was based on this Shakespeare play",The Taming of the Shrew
14291,1429,11/15/1990,Double Jeopardy!,OPERA,$200 ,"In ""Siegfried"" Fafner the giant is turned into one of these mythical beasts before Siegfried slays him",a dragon
14297,1429,11/15/1990,Double Jeopardy!,OPERA,$400 ,"1st name shared by Rigoletto's daughter, a ""Saturday Night Live"" star & a R. Hayworth character",Gilda
14303,1429,11/15/1990,Double Jeopardy!,OPERA,"$3,000 ","Marie, the heroine of this Donizetti opera, was adopted as an infant by French soldiers",The Daughter of the Regiment
14309,1429,11/15/1990,Double Jeopardy!,OPERA,$800 ,"English composer whose 1947 opera ""Albert Herring"" is about a young man, not a young fish",Benjamin Britten
14315,1429,11/15/1990,Double Jeopardy!,OPERA,"$1,000 ",Drops of blood from the ceiling reveal where an outlaw is hiding in this Puccini opera,The Girl of the Golden West
