,Show Number,Air Date,Round,Category,Value,Question,Answer
205671,4192,11/19/2002,Double Jeopardy!,WORD ORIGINS,$400 ,"In this poem, Lewis Carroll invented such words as mimsy, a combination of flimsy & miserable","""Jabberwocky"""
93305,371,2/10/1986,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Though he wasn't part of the Lincoln conspiracy, his name's been blackened in many a town",(Dr. Samuel) Mudd
41243,4617,10/5/2004,Jeopardy!,WORD ORIGINS,$800 ,This Austrian physicist's name is now synonymous with a measurement of the speed of sound,(Ernst) Mach
76494,5542,10/14/2008,Double Jeopardy!,WORD ORIGINS,$400 ,"Some things named after this scientist are a unit of force, a fluid, some ""rings"" & the laws of motion",(Sir Isaac) Newton
187124,4651,11/22/2004,Jeopardy!,WORD ORIGINS,$600 ,"Originally used to designate an errand boy, it was introduced into Scotland by golfer Mary, Queen of Scots",a caddy
128470,4933,2/8/2006,Jeopardy!,WORD ORIGINS,$400 ,"This word for a self-service restaurant evolved from the Spanish for ""coffee shop""",a cafeteria
52568,5525,9/19/2008,Double Jeopardy!,WORD ORIGINS,$800 ,The name of this type of singing group that performs without instrumental accompaniment is from the Italian,a cappella
147005,5309,10/11/2007,Double Jeopardy!,WORD ORIGINS,$400 ,"The Keebler Elves could probably tell you that the name of this snack comes from a Dutch word for ""small cake""",a cookie
128482,4933,2/8/2006,Jeopardy!,WORD ORIGINS,"$1,800 ","Originally one who kept legal records for the crown, now it's a public officer who investigates deaths",a coroner
156519,3719,11/2/2000,Double Jeopardy!,WORD ORIGINS,$400 ,"From the Dutch for ""a twisted cake"", it's a twisted doughnut",a cruller
169996,5455,5/2/2008,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Dutch for ""a twisted cake"", it's a twisted doughnut",a cruller
128464,4933,2/8/2006,Jeopardy!,WORD ORIGINS,$200 ,"This lawn weed's name comes from the old French for ""tooth of the lion"", referring to its sharply indented leaves",a dandelion
138739,6261,12/5/2011,Double Jeopardy!,WORD ORIGINS,"$1,600 ","This term for a type of airship is from the Latin for ""to direct""",a dirigible
211882,3224,9/17/1998,Double Jeopardy!,WORD ORIGINS,$200 ,"Derived from the Greek for ""throw"", you can throw a floppy one into a computer & store a file",a disk
80252,5283,7/25/2007,Double Jeopardy!,WORD ORIGINS,"$1,200 ",This ground-meat sandwich gets its name from a German port city,a hamburger
93300,371,2/10/1986,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Weapon said to have been the size of a pomegranate & filled with ""seeds"" of gunpowder",a hand grenade
165163,6272,12/20/2011,Jeopardy!,WORD ORIGINS,$800 ,"This 19th century 2-wheeled cab was named for a Brit, not for its good looks",a Hansom cab
147021,5309,10/11/2007,Double Jeopardy!,WORD ORIGINS,"$1,600 ","The name of this type of aircraft is from 2 Greek words meaning ""spiral wing""",a helicopter
8785,5397,2/12/2008,Jeopardy!,WORD ORIGINS,$200 ,"The name of this, also called a fireplug, is partly from a word for ""water""",a hydrant
43737,6078,2/2/2011,Double Jeopardy!,WORD ORIGINS,"$1,600 ","The French for ""to throw"" gives us this word for a pier",a jetty
156513,3719,11/2/2000,Double Jeopardy!,WORD ORIGINS,$200 ,"Not to skirt the issue, but the name of this Scottish garment goes back to Middle English",a kilt
211888,3224,9/17/1998,Double Jeopardy!,WORD ORIGINS,$400 ,"This ""attractive"" word is from 2 Greek words for ""stone of magnesia""",a magnet
19920,6025,11/19/2010,Double Jeopardy!,WORD ORIGINS,"$1,600 ","This term for a novice or beginner is from Latin & Greek for ""newly planted""",a neophyte
2837,422,4/22/1986,Double Jeopardy!,WORD ORIGINS,$400 ,Laboratory culture dish named for the German bacteriologist who invented it,a Petri dish
350,5690,5/8/2009,Double Jeopardy!,WORD ORIGINS,"$1,600 ","From the Latin for ""much writing"", it's another name for a lie detector test",a polygraph
8809,5397,2/12/2008,Jeopardy!,WORD ORIGINS,"$1,000 ","This 5-letter synonym of ""question"" comes from the Latin for ""to ask"" or ""to seek""",a query
11486,3136,3/30/1998,Final Jeopardy!,WORD ORIGINS,None,"This type of establishment gets its name from the Latin for ""to restore""",a restaurant
138727,6261,12/5/2011,Double Jeopardy!,WORD ORIGINS,$800 ,"This small scented pouch takes its name from the French for ""little bag""",a sachet
59840,6009,10/28/2010,Final Jeopardy!,WORD ORIGINS,None,"This 4-letter term for a religious group that holds distinctive beliefs comes from the Latin for ""follow""",a sect
102363,4912,1/10/2006,Jeopardy!,WORD ORIGINS,"$1,000 ",This term for a minor engagement in war traces its origins back to the old Italian word scaramuccia,a skirmish
29262,2019,5/20/1993,Jeopardy!,WORD ORIGINS,$300 ,"The name of this 2- or 3-toed mammal comes from Middle English for ""slow""",a sloth
54694,5746,9/14/2009,Final Jeopardy!,WORD ORIGINS,None,This skilled army job may have been named for a bird because soldiers tested their rifle accuracy by shooting them,a sniper
122502,4615,10/1/2004,Double Jeopardy!,WORD ORIGINS,"$1,200 ","This large, triangular sail used on some racing yachts is said to derive its name from a yacht called the Sphinx",a spinnaker
2848,422,4/22/1986,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Originally a brand applied to slaves & criminals, it has come to mean a mark of disgrace",a stigma
170008,5455,5/2/2008,Double Jeopardy!,WORD ORIGINS,"$1,600 ","From the Greek for ""generalship"", it's a plan of action, like those employed by the military",a strategy
76506,5542,10/14/2008,Double Jeopardy!,WORD ORIGINS,"$1,200 ",This word for a passenger vehicle comes from the word for the meter that calculates payment,a taxi
80246,5283,7/25/2007,Double Jeopardy!,WORD ORIGINS,$800 ,"This wood-eating insect gets its name from the Latin for ""wood-eating worm""",a termite
19902,6025,11/19/2010,Double Jeopardy!,WORD ORIGINS,$400 ,"This dog, of which there are more than 20 breeds, takes its name from the Latin for ""earth""",a terrier
193962,4770,5/6/2005,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Latin for ""earth"", it's any of several types of small dogs bred to hunt animals underground in burrows",a terrier
19908,6025,11/19/2010,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this ballroom dance with gliding turns comes from German for ""roll"" or ""turn""",a waltz
57416,6181,6/27/2011,Jeopardy!,WORD ORIGINS,$600 ,"The word ""drama"" comes from the Greek for this verb, which as a noun also means one section of a drama",act
69759,2130,12/3/1993,Double Jeopardy!,WORD ORIGINS,"$1,000 ","The Middle English phrase for this position with hands-on-hips & elbows bent out was ""Ankinibo""",Akimbo
49619,5563,11/12/2008,Final Jeopardy!,WORD ORIGINS,None,"The name of this branch of mathematics comes from the Arabic for ""reuniting""",algebra
86125,2952,6/3/1997,Double Jeopardy!,WORD ORIGINS,"$1,500 ","The word for this legal defense comes from the Latin for ""elsewhere""",alibi
69741,2130,12/3/1993,Double Jeopardy!,WORD ORIGINS,$400 ,This term for all the letters in a language comes from the names of two Greek letters,Alphabet
80155,5134,12/28/2006,Jeopardy!,WORD ORIGINS,"$2,000 ","(<a href=""http://www.j-archive.com/media/2006-12-28_J_13.jpg"" target=""_blank"">Sarah of the Clue Crew helps with an image on a monitor.</a>)  The pair of Greek letters seen here inspired this eight-letter English word that's a cornerstone of the English language",alphabet
117505,4247,2/4/2003,Double Jeopardy!,WORD ORIGINS,$400 ,"The name of this vehicle dates back to the time of Napoleon when it meant ""walking hospital""",ambulance
73155,4957,3/14/2006,Final Jeopardy!,WORD ORIGINS,None,"The word ""toxic"" comes from the ancient Greek for this weapon",an arrow
147016,5309,10/11/2007,Double Jeopardy!,WORD ORIGINS,"$1,200 ","1st used in a novel about 90 years ago, it refers to a bright person, not someone who resembles Humpty Dumpty",an egghead
8803,5397,2/12/2008,Jeopardy!,WORD ORIGINS,$600 ,"The name of this type of reference work is from the Greek for ""cyclical"" (i.e., well-rounded) & ""education""",an encyclopedia
83456,5230,5/11/2007,Jeopardy!,WORD ORIGINS,$400 ,"This, a personal view or belief, comes from the Old French for ""to think""",an opinion
73275,2816,11/25/1996,Jeopardy!,WORD ORIGINS,$100 ,"Local or general, this medical term comes from Greek meaning ""insensibility""",anesthesia
103709,2857,1/21/1997,Final Jeopardy!,WORD ORIGINS,None,"From the Latin for ""year"" & ""turn"", it's literally ""The turn of a year""",Anniversary (annus - year & verso - turn)
